Date,Open,High,Low,Close,Volume,Adj Close*,Log returns,Daily returns
12-Jun-08,12089.6,12269.2,12076.9,12141.6,2609600,12141.6,0.002072393,0.004783264
13-Jun-08,12144.6,12310.3,12144.6,12307.4,2479800,12307.4,0.005890395,0.013655531
16-Jun-08,12306.9,12319.7,12212.3,12269.1,2221400,12269.1,-0.00135361,-0.003111949
17-Jun-08,12269.7,12322.8,12150.3,12160.3,1746900,12160.3,-0.003868417,-0.008867806
18-Jun-08,12158.7,12158.7,11993.6,12029.1,2129000,12029.1,-0.004711154,-0.010789208
19-Jun-08,12029.1,12114.8,11978.3,12063.1,2309200,12063.1,0.001225793,0.002826479
20-Jun-08,12062.2,12062.2,11818.8,11842.7,4297000,11842.7,-0.0080082,-0.018270594
23-Jun-08,11843.8,11987,11731.1,11842.4,1828700,11842.4,-1.10017E-05,-2.53321E-05
24-Jun-08,11842.4,11904.3,11725.5,11807.4,2252700,11807.4,-0.00128545,-0.002955482
25-Jun-08,11805.3,11924.2,11789.4,11811.8,2361600,11811.8,0.000161809,0.000372648
26-Jun-08,11808.6,11808.7,11453.4,11453.4,3025500,11453.4,-0.013381656,-0.030342539
27-Jun-08,11452.9,11485.3,11298,11346.5,3382500,11346.5,-0.004072511,-0.009333473
30-Jun-08,11345.7,11437.3,11287.6,11350,2822100,11350,0.000133944,0.000308465
1-Jul-08,11344.6,11407.9,11183.4,11382.3,2995900,11382.3,0.001234166,0.002845815
2-Jul-08,11382.3,11434.1,11214.4,11215.5,2306900,11215.5,-0.006411388,-0.014654332
3-Jul-08,11216,11337.48,11157.21,11288.54,1769100,11288.54,0.002819137,0.006512416
7-Jul-08,11289.2,11399.1,11120.7,11232,2482400,11232,-0.002180681,-0.005008619
8-Jul-08,11225,11391.1,11174.9,11384.2,2715000,11384.2,0.005845422,0.01355057
9-Jul-08,11381.9,11418.2,11142,11147.4,2271000,11147.4,-0.009128932,-0.020800759
10-Jul-08,11148,11270.3,11087,11229,2480100,11229,0.003167497,0.007320093
11-Jul-08,11226.2,11241.1,10977.7,11100.5,2750100,11100.5,-0.004998541,-0.011443584
14-Jul-08,11103.6,11239,11003.7,11055.2,2053600,11055.2,-0.001775937,-0.004080897
15-Jul-08,11050.8,11123.7,10827.7,10962.5,3313900,10962.5,-0.003656997,-0.008385194
16-Jul-08,10961.9,11244.2,10918.3,11239.3,3075900,11239.3,0.010829657,0.025249715
17-Jul-08,11238.4,11446.7,11209.6,11446.7,3352600,11446.7,0.007941037,0.018453107
18-Jul-08,11436.6,11510.8,11381.9,11496.6,3786100,11496.6,0.00188912,0.004359335
21-Jul-08,11495,11559.7,11423.9,11467.3,2128500,11467.3,-0.001108247,-0.00254858
22-Jul-08,11457.9,11616.7,11387.4,11602.5,2736900,11602.5,0.005090403,0.011790046
23-Jul-08,11603.4,11698.2,11558.3,11632.4,2645200,11632.4,0.001117751,0.002577031
24-Jul-08,11630.3,11634.5,11345.4,11349.3,2411400,11349.3,-0.010700252,-0.024337196
25-Jul-08,11341.1,11443.8,11325.1,11370.7,1909200,11370.7,0.000818125,0.001885579
28-Jul-08,11369.5,11369.6,11125.1,11131.1,1975500,11131.1,-0.009249117,-0.021071702
29-Jul-08,11133.4,11398.4,11128.1,11397.6,2069300,11397.6,0.010275327,0.023941928
30-Jul-08,11397.6,11586.6,11397.6,11583.7,2085200,11583.7,0.00703389,0.016327999
